資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
"1110125","1240","茂生農經","12.98","2.50000000","4.95","1.55"
"1110125","1258","其祥-KY","58.18","0.00000000","0.00","1.35"
"1110125","1259","安心","30.63","2.98916310","4.40","1.10"
"1110125","1264","德麥","18.99","13.00000000","4.48","4.26"
"1110125","1268","漢來美食","2100.00","7.00000000","6.67","2.87"
"1110125","1336","台翰","128.13","1.50000000","7.32","1.04"
"1110125","1565","精華","15.23","12.00000000","4.17","2.53"
"1110125","1569","濱川","9.49","1.49848702","6.66","0.88"
"1110125","1570","力肯","8.60","0.80000000","4.01","1.23"
"1110125","1580","新麥","11.64","6.79000000","6.50","2.38"
"1110125","1584","精剛","59.04","0.00000000","0.00","1.40"
"1110125","1586","和勤","24.48","1.00087156","2.48","2.07"
"1110125","1591","駿吉-KY","9.04","0.50000000","3.55","1.14"
"1110125","1593","祺驊","15.98","3.58391996","4.44","2.68"
"1110125","1595","川寶","17.90","0.50000000","1.20","0.80"
"1110125","1599","宏佳騰","10.66","2.04107970","4.21","1.88"
"1110125","1742","台蠟","71.67","0.00000000","0.00","1.54"
"1110125","1777","生泰","14.16","4.00000000","6.18","1.59"
"1110125","1781","合世","N/A","0.00000000","0.00","1.76"
"1110125","1784","訊聯","51.06","0.18471358","0.51","1.58"
"1110125","1785","光洋科","23.08","1.20000000","2.56","2.36"
"1110125","1788","杏昌","16.69","6.77077900","4.79","2.55"
"1110125","1796","金穎生技","39.07","0.08306125","0.19","2.47"
"1110125","1799","易威","N/A","0.00000000","0.00","2.75"
"1110125","1813","寶利徠","162.73","0.00000000","0.00","1.00"
"1110125","1815","富喬","17.39","0.00000000","0.00","0.91"
"1110125","2035","唐榮","12.38","0.00000000","0.00","2.32"
"1110125","2061","風青","10.23","0.00000000","0.00","1.83"
"1110125","2063","世鎧","10.39","2.00000000","5.63","2.03"
"1110125","2064","晉椿","11.43","0.50000000","2.79","1.08"
"1110125","2065","世豐","9.92","2.92687560","6.36","1.58"
"1110125","2066","世德","13.43","1.70000000","2.94","1.79"
"1110125","2067","嘉鋼","697.50","0.00000000","0.00","1.49"
"1110125","2070","精湛","19.63","1.00000000","2.71","1.63"
"1110125","2221","大甲","10.77","1.00000000","2.87","1.71"
"1110125","2230","泰茂","N/A","0.20000000","1.37","1.32"
"1110125","2235","謚源","25.20","2.00000000","5.26","1.11"
"1110125","2596","綠意","8.09","1.20000000","5.66","1.03"
"1110125","2640","大車隊","20.00","4.40000000","5.67","3.00"
"1110125","2641","正德","17.46","0.00000000","0.00","1.52"
"1110125","2643","捷迅","8.15","4.00000000","5.83","2.04"
"1110125","2718","晶悅","N/A","0.00000000","0.00","1.89"
"1110125","2719","燦星旅","N/A","0.00000000","0.00","8.41"
"1110125","2724","富驛-KY","N/A","0.00000000","0.00","6.78"
"1110125","2726","雅茗-KY","184.33","0.50000000","1.81","1.72"
"1110125","2729","瓦城","25.54","14.49978020","6.81","2.55"
"1110125","2732","六角","37.41","2.98409631","3.28","2.49"
"1110125","2734","易飛網","N/A","0.00000000","0.00","3.87"
"1110125","2736","富野","N/A","0.20000000","1.36","0.65"
"1110125","2740","天蔥","N/A","0.00000000","0.00","10.83"
"1110125","2743","山富","N/A","0.00000000","0.00","1.48"
"1110125","2745","五福","N/A","0.00000000","0.00","1.79"
"1110125","2752","豆府","27.04","9.00000000","6.19","4.25"
"1110125","2754","亞洲藏壽司","N/A","0.49936742","0.70","2.72"
"1110125","2755","揚秦","17.48","2.00000000","3.60","2.03"
"1110125","2756","聯發國際","17.54","0.00000000","0.00","6.75"
"1110125","2916","滿心","10.70","1.50000000","6.98","1.32"
"1110125","2924","東凌-KY","N/A","0.00000000","0.00","1.94"
"1110125","2926","誠品生活","N/A","0.84000000","1.43","3.31"
"1110125","2937","集雅社","12.89","2.35000000","6.51","1.75"
"1110125","2947","振宇五金","18.13","3.60000000","3.00","3.83"
"1110125","3064","泰偉","N/A","0.00000000","0.00","6.17"
"1110125","3066","李洲","22.04","0.00000000","0.00","2.75"
"1110125","3067","全域","N/A","0.00000000","0.00","4.63"
"1110125","3071","協禧","15.89","1.59737409","5.95","2.13"
"1110125","3073","天方能源","N/A","0.00000000","0.00","2.30"
"1110125","3078","僑威","7.59","3.15000000","8.33","1.61"
"1110125","3081","聯亞","31.10","5.00000000","2.63","4.08"
"1110125","3083","網龍","N/A","0.00000000","0.00","3.92"
"1110125","3085","新零售","N/A","0.00000000","0.00","5.04"
"1110125","3086","華義","29.91","0.00000000","0.00","9.68"
"1110125","3088","艾訊","13.34","2.57013434","4.41","1.77"
"1110125","3089","億杰","N/A","0.00000000","0.00","5.61"
"1110125","3093","港建","11.43","4.20000000","5.25","3.03"
"1110125","3095","及成","N/A","0.00000000","0.00","5.08"
"1110125","3105","穩懋","28.62","10.00000000","2.98","4.34"
"1110125","3114","好德","10.94","1.20000000","4.57","1.37"
"1110125","3115","寶島極","N/A","0.00000000","0.00","2.36"
"1110125","3118","進階","13.04","1.60000000","5.41","1.81"
"1110125","3122","笙泉","20.13","0.00000000","0.00","3.47"
"1110125","3128","昇銳","30.90","0.55000000","2.66","1.51"
"1110125","3131","弘塑","17.90","11.00000000","3.32","3.27"
"1110125","3141","晶宏","27.27","0.62342665","0.34","6.94"
"1110125","3147","大綜","9.29","2.10000000","4.37","1.84"
"1110125","3152","璟德","18.65","10.80000000","3.43","5.85"
"1110125","3162","精確","61.85","0.00000000","0.00","2.74"
"1110125","3163","波若威","57.99","2.50000000","6.44","1.67"
"1110125","3169","亞信","38.91","2.50000000","1.25","8.14"
"1110125","3171","新洲","12.73","1.85000000","9.02","1.41"
"1110125","3176","基亞","N/A","0.00000000","0.00","3.42"
"1110125","3178","公準","36.01","1.20000000","1.82","3.08"
"1110125","3188","鑫龍騰","8.66","0.30000000","1.82","1.16"
"1110125","3191","和進","N/A","0.00000000","0.00","4.51"
"1110125","3202","樺晟","N/A","0.00000000","0.00","1.81"
"1110125","3205","佰研","N/A","0.00000000","0.00","1.51"
"1110125","3206","志豐","10.80","2.00000000","7.09","1.46"
"1110125","3207","耀勝","49.15","0.00000000","0.00","1.74"
"1110125","3211","順達","16.64","6.50000000","6.31","2.19"
"1110125","3213","茂訊","4.69","4.50000000","7.54","1.71"
"1110125","3217","優群","16.74","5.60000000","4.63","3.09"
"1110125","3218","大學光","37.62","4.20000000","1.58","10.12"
"1110125","3219","倚強科","16.78","0.00000000","0.00","5.52"
"1110125","3221","台嘉碩","31.05","0.20027406","0.61","1.74"
"1110125","3224","三顧","N/A","0.00000000","0.00","2.76"
"1110125","3226","至寶電","15.46","3.50000000","5.75","3.18"
"1110125","3227","原相","10.35","8.48313461","6.17","1.98"
"1110125","3228","金麗科","123.76","0.00000000","0.00","45.97"
"1110125","3230","錦明","89.50","0.00000000","0.00","1.35"
"1110125","3232","昱捷","32.15","0.30000000","1.18","1.94"
"1110125","3234","光環","N/A","0.00000000","0.00","2.34"
"1110125","3236","千如","26.86","0.65000000","2.81","1.66"
"1110125","3252","海灣","N/A","0.00000000","0.00","0.41"
"1110125","3259","鑫創","N/A","0.00000000","0.00","4.74"
"1110125","3260","威剛","8.66","3.18428466","3.83","1.82"
"1110125","3264","欣銓","10.44","2.00008936","3.84","1.85"
"1110125","3265","台星科","10.90","1.22938400","4.21","0.83"
"1110125","3268","海德威","12.44","0.50000000","1.98","1.89"
"1110125","3272","東碩","39.26","1.80000000","4.83","1.11"
"1110125","3276","宇環","13.32","0.00000000","0.00","1.58"
"1110125","3284","太普高","N/A","0.00000000","0.00","1.11"
"1110125","3285","微端","83.65","0.35000000","1.61","1.56"
"1110125","3287","廣寰科","18.67","0.00000000","0.00","1.40"
"1110125","3288","點晶","N/A","0.00000000","0.00","3.04"
"1110125","3289","宜特","24.68","3.13386956","6.29","1.23"
"1110125","3290","東浦","88.75","0.20000000","0.94","1.53"
"1110125","3293","鈊象","11.35","42.00000000","5.84","7.06"
"1110125","3294","英濟","32.64","0.50000000","2.13","1.33"
"1110125","3297","杭特","N/A","0.00000000","0.00","1.00"
"1110125","3303","岱稜","31.22","1.40000000","5.47","1.41"
"1110125","3306","鼎天","36.54","0.50000000","1.69","0.98"
"1110125","3310","佳穎","22.60","1.49894954","4.36","1.43"
"1110125","3313","斐成","N/A","0.00000000","0.00","1.21"
"1110125","3317","尼克森","13.22","1.00000000","1.49","1.86"
"1110125","3322","建舜電","51.00","0.00000000","0.00","2.06"
"1110125","3323","加百裕","11.17","2.50000000","6.38","1.28"
"1110125","3324","雙鴻","17.20","5.60004171","2.77","4.02"
"1110125","3325","旭品","N/A","2.49999989","15.29","1.44"
"1110125","3332","幸康","19.04","1.00000000","2.53","1.40"
"1110125","3339","泰谷","21.74","0.00000000","0.00","1.63"
"1110125","3354","律勝","N/A","0.30000000","1.82","1.10"
"1110125","3357","臺慶科","11.30","4.10000000","3.40","2.11"
"1110125","3360","尚立","27.82","1.00000000","6.54","1.07"
"1110125","3362","先進光","N/A","0.00000000","0.00","4.43"
"1110125","3363","上詮","19.79","1.00000000","3.46","1.47"
"1110125","3372","典範","9.98","0.00000000","0.00","1.66"
"1110125","3373","熱映","7.83","10.00000000","27.51","1.50"
"1110125","3374","精材","15.22","2.50000000","1.98","5.96"
"1110125","3379","彬台","N/A","0.30000000","2.50","1.06"
"1110125","3388","崇越電","11.14","4.30000000","5.19","1.50"
"1110125","3390","旭軟","N/A","0.20000000","0.95","1.35"
"1110125","3402","漢科","11.68","2.70000000","5.83","2.25"
"1110125","3426","台興","17.75","2.00000000","5.17","1.61"
"1110125","3434","哲固","33.17","0.00000000","0.00","1.57"
"1110125","3438","類比科","14.77","1.50000000","2.03","2.34"
"1110125","3441","聯一光","127.78","0.50000000","1.45","2.12"
"1110125","3444","利機","17.04","1.80000000","3.47","2.66"
"1110125","3455","由田","14.36","4.00000000","4.23","2.52"
"1110125","3465","進泰電子","13.45","0.00000000","0.00","9.04"
"1110125","3466","致振","N/A","0.00000000","0.00","0.96"
"1110125","3479","安勤","24.48","2.58435269","4.78","1.70"
"1110125","3483","力致","20.80","2.50000003","3.21","2.04"
"1110125","3484","崧騰","9.18","3.20000000","3.95","2.57"
"1110125","3489","森寶","23.67","0.30000000","2.82","0.68"
"1110125","3490","單井","13.99","0.70000000","2.53","1.27"
"1110125","3491","昇達科","51.89","2.50000000","1.52","5.41"
"1110125","3492","長盛","25.00","0.28000000","1.58","1.17"
"1110125","3498","陽程","N/A","0.00000000","0.00","0.79"
"1110125","3499","環天科","N/A","0.00000000","0.00","2.39"
"1110125","3508","位速","N/A","0.00000000","0.00","4.28"
"1110125","3511","矽瑪","29.22","0.50000000","1.40","1.86"
"1110125","3512","皇龍","8.05","2.00000000","6.16","1.66"
"1110125","3516","亞帝歐","1630.00","0.20000000","1.23","0.65"
"1110125","3520","華盈","N/A","0.00000000","0.00","1.58"
"1110125","3521","鴻翊","N/A","0.00000000","0.00","1.54"
"1110125","3522","御頂","N/A","0.00000000","0.00","1.22"
"1110125","3523","迎輝","N/A","0.00000000","0.00","1.38"
"1110125","3526","凡甲","17.13","9.13400405","5.07","4.58"
"1110125","3527","聚積","16.28","2.00000000","1.19","2.87"
"1110125","3529","力旺","117.82","8.99900000","0.58","53.57"
"1110125","3531","先益","20.58","1.00000000","4.67","0.78"
"1110125","3537","堡達","11.20","2.50000000","6.54","2.03"
"1110125","3540","曜越","8.89","4.48956474","11.77","1.63"
"1110125","3541","西柏","21.83","2.01554593","3.38","2.82"
"1110125","3546","宇峻","12.45","5.18057761","6.33","2.87"
"1110125","3548","兆利","25.35","2.50000000","3.79","1.00"
"1110125","3551","世禾","9.38","2.20000000","3.22","1.23"
"1110125","3552","同致","21.71","1.50000000","1.08","3.27"
"1110125","3555","重鵬","13.47","0.00000000","0.00","2.75"
"1110125","3556","禾瑞亞","12.82","3.45000000","4.81","3.56"
"1110125","3558","神準","12.19","4.00000000","3.86","1.68"
"1110125","3564","其陽","31.39","0.60000000","2.12","1.47"
"1110125","3567","逸昌","12.45","2.00000000","5.54","2.19"
